time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.03607,1.07272
0,-1.98E-07,0.978397323,1,-0.200002124,0.094322677,1.07272
1,-1.98E-07,0.97784163,1,-0.200002303,0.09487837,1.07272
2,-1.98E-07,0.977279669,1,-0.200002346,0.095440331,1.07272
3,-1.98E-07,0.976731211,1,-0.200001658,0.095988789,1.07272
4,-1.98E-07,0.976142199,1,-0.200001971,0.096577801,1.07272
5,-1.98E-07,0.975546903,1,-0.200002045,0.097173097,1.07272
6,-1.98E-07,0.974935708,1,-0.200002285,0.097784292,1.07272
7,-1.98E-07,0.974324957,1,-0.200002186,0.098395043,1.07272
8,-1.98E-07,0.973696413,1,-0.200002292,0.099023587,1.07272
9,-1.98E-07,0.973068726,1,-0.200002009,0.099651274,1.07272
10,-1.98E-07,0.972425933,1,-0.200001877,0.100294067,1.07272
11,-1.98E-07,0.971755521,1,-0.200002112,0.100964479,1.07272
12,-1.98E-07,0.971088345,1,-0.200001966,0.101631655,1.07272
13,-1.98E-07,0.970392243,1,-0.200002259,0.102327757,1.07272
14,-1.98E-07,0.969713449,1,-0.200001578,0.103006551,1.07272
15,-1.98E-07,0.968990494,1,-0.200002068,0.103729506,1.07272
16,-1.98E-07,0.968258355,1,-0.200002229,0.104461645,1.07272
17,-1.98E-07,0.967520559,1,-0.200002217,0.105199441,1.07272
18,-1.98E-07,0.966764135,1,-0.200002282,0.105955865,1.07272
19,-1.98E-07,0.966000955,1,-0.200002127,0.106719045,1.07272
20,-1.98E-07,0.965217606,1,-0.200002185,0.107502394,1.07272
21,-1.98E-07,0.964424173,1,-0.200002049,0.108295827,1.07272
22,-1.98E-07,0.963606584,1,-0.200002193,0.109113416,1.07272
23,-1.98E-07,0.962775519,1,-0.200002267,0.109944481,1.07272
24,-1.98E-07,0.961935526,1,-0.20000207,0.110784474,1.07272
25,-1.98E-07,0.961069112,1,-0.20000224,0.111650888,1.07272
26,-1.98E-07,0.960192644,1,-0.200002176,0.112527356,1.07272
27,-1.98E-07,0.959297775,1,-0.200002166,0.113422225,1.07272
28,-1.98E-07,0.958381971,1,-0.200002248,0.114338029,1.07272
29,-1.98E-07,0.957465795,1,-0.200001791,0.115254205,1.07272
30,-1.98E-07,0.956504275,1,-0.200002203,0.116215725,1.07272
31,-1.98E-07,0.955548426,1,-0.200001872,0.117171574,1.07272
32,-1.98E-07,0.954550309,1,-0.20000221,0.118169691,1.07272
33,-1.98E-07,0.953545382,1,-0.200002145,0.119174618,1.07272
34,-1.98E-07,0.952529141,1,-0.200001863,0.120190859,1.07272
35,-1.98E-07,0.951471687,1,-0.200002247,0.121248313,1.07272
36,-1.98E-07,0.950423394,1,-0.200001759,0.122296606,1.07272
37,-1.98E-07,0.949315284,1,-0.200002333,0.123404716,1.07272
38,-1.98E-07,0.948211024,1,-0.200002082,0.124508976,1.07272
39,-1.98E-07,0.947082071,1,-0.200002054,0.125637929,1.07272
40,-1.98E-07,0.945928054,1,-0.200002165,0.126791946,1.07272
41,-1.98E-07,0.944746642,1,-0.200002238,0.127973358,1.07272
42,-1.98E-07,0.943562142,1,-0.200001808,0.129157858,1.07272
43,-1.98E-07,0.942330175,1,-0.200002109,0.130389825,1.07272
44,-1.98E-07,0.941071621,1,-0.200002455,0.131648379,1.07272
45,-1.98E-07,0.939808309,1,-0.200002184,0.132911691,1.07272
46,-1.98E-07,0.938505593,1,-0.200002323,0.134214407,1.07272
47,-1.98E-07,0.937180228,1,-0.200002385,0.135539772,1.07272
48,-1.98E-07,0.935851031,1,-0.200001896,0.136868969,1.07272
49,-1.98E-07,0.934464323,1,-0.20000227,0.138255677,1.07272
