time,I_YSZ_bottom,cell_potential,dt,j_YSZ_bottom,numerical_phi_YSZ,potential_top_Cathode
-1,0,1.03665,0,0,0.036069999999998,1.07272
0,-1.9848237926516e-07,0.97546011797281,1,-0.2000035279834,0.09725988202719,1.07272
1,-1.9848239305486e-07,0.97486175359331,1,-0.20000354187879,0.097858246406692,1.07272
2,-1.9848312047322e-07,0.97422997126167,1,-0.20000427487201,0.09849002873833,1.07272
3,-1.9848248825779e-07,0.97362850534308,1,-0.20000363781134,0.099091494656916,1.07272
4,-1.9848294844037e-07,0.97297976063915,1,-0.20000410152071,0.099740239360852,1.07272
5,-1.9848253848958e-07,0.97234736587409,1,-0.20000368842811,0.10037263412591,1.07272
6,-1.9848272230461e-07,0.97168498244318,1,-0.20000387365188,0.10103501755682,1.07272
7,-1.9848249615065e-07,0.97102393155698,1,-0.20000364576469,0.10169606844302,1.07272
8,-1.9848245832883e-07,0.97034329169165,1,-0.20000360765301,0.10237670830835,1.07272
9,-1.9848233085852e-07,0.96964669692394,1,-0.20000347920578,0.10307330307606,1.07272
10,-1.9848290379496e-07,0.96892623160318,1,-0.20000405653314,0.10379376839682,1.07272
11,-1.9848308816823e-07,0.96820127919976,1,-0.20000424231944,0.10451872080024,1.07272
12,-1.9848265975739e-07,0.9674818741715,1,-0.2000038106253,0.1052381258285,1.07272
13,-1.9848248106693e-07,0.96674041937513,1,-0.20000363056537,0.10597958062487,1.07272
14,-1.9848305182884e-07,0.96596109694076,1,-0.20000420570154,0.10675890305923,1.07272
15,-1.9848298161167e-07,0.96518731420013,1,-0.20000413494624,0.10753268579987,1.07272
16,-1.9848304310874e-07,0.96439578387392,1,-0.20000419691462,0.10832421612608,1.07272
17,-1.9848295695871e-07,0.96359301638328,1,-0.20000411010434,0.10912698361672,1.07272
18,-1.9848271619701e-07,0.96278135483796,1,-0.20000386749746,0.10993864516204,1.07272
19,-1.9848296583424e-07,0.96193503021687,1,-0.20000411904788,0.11078496978313,1.07272
20,-1.9848276223791e-07,0.96108916466492,1,-0.20000391389122,0.11163083533508,1.07272
21,-1.9848281761831e-07,0.96021820230256,1,-0.20000396969605,0.11250179769744,1.07272
22,-1.9848287024773e-07,0.95933138396763,1,-0.20000402272882,0.11338861603237,1.07272
23,-1.9848295888773e-07,0.95842612329497,1,-0.20000411204814,0.11429387670503,1.07272
24,-1.9848247347458e-07,0.9575212267576,1,-0.20000362291484,0.1151987732424,1.07272
25,-1.9848260193395e-07,0.95657627418739,1,-0.20000375235871,0.11614372581261,1.07272
26,-1.9848292390522e-07,0.95561320017211,1,-0.20000407679753,0.11710679982789,1.07272
27,-1.9848296192056e-07,0.9546345096936,1,-0.20000411510422,0.1180854903064,1.07272
28,-1.9848280299528e-07,0.95364522256083,1,-0.20000395496094,0.11907477743917,1.07272
29,-1.9848301153283e-07,0.95262444697424,1,-0.20000416509671,0.12009555302576,1.07272
30,-1.9848276671515e-07,0.95159767799524,1,-0.20000391840277,0.12112232200476,1.07272
31,-1.9848288921124e-07,0.95054015177622,1,-0.20000404183766,0.12217984822378,1.07272
32,-1.9848278900545e-07,0.94946632802985,1,-0.2000039408639,0.12325367197015,1.07272
33,-1.9848292329128e-07,0.9483664238393,1,-0.20000407617889,0.1243535761607,1.07272
34,-1.9848296166222e-07,0.94724690980272,1,-0.20000411484389,0.12547309019728,1.07272
35,-1.9848293493732e-07,0.94610754027059,1,-0.20000408791418,0.12661245972941,1.07272
36,-1.9848241367124e-07,0.94496254321437,1,-0.20000356265316,0.12775745678563,1.07272
37,-1.9848258592161e-07,0.94377100304785,1,-0.20000373622365,0.12894899695215,1.07272
38,-1.9848273495583e-07,0.94255593038548,1,-0.20000388640005,0.13016406961452,1.07272
39,-1.9848268940575e-07,0.94132320813586,1,-0.20000384050088,0.13139679186414,1.07272
40,-1.984827988634e-07,0.94006162142663,1,-0.2000039507974,0.13265837857337,1.07272
41,-1.9848296814895e-07,0.93877142543793,1,-0.20000412138033,0.13394857456207,1.07272
42,-1.9848270221663e-07,0.93747123513466,1,-0.20000385340994,0.13524876486534,1.07272
43,-1.9848227572244e-07,0.93614979403297,1,-0.20000342364715,0.13657020596703,1.07272
44,-1.9848275391628e-07,0.93477241999627,1,-0.20000390550581,0.13794758000373,1.07272
45,-1.9848280791922e-07,0.93338092959364,1,-0.20000395992263,0.13933907040636,1.07272
46,-1.9848250025204e-07,0.93197609846493,1,-0.20000364989751,0.14074390153507,1.07272
47,-1.9848274525394e-07,0.93052097172888,1,-0.20000389677708,0.14219902827112,1.07272
48,-1.9848276360442e-07,0.92904510926267,1,-0.2000039152682,0.14367489073733,1.07272
49,-1.9848262996956e-07,0.92754630630019,1,-0.20000378060917,0.14517369369981,1.07272
50,-1.9848270184975e-07,0.92601226965031,1,-0.20000385304025,0.14670773034969,1.07272
51,-1.9848264992209e-07,0.92444500972897,1,-0.20000380071462,0.14827499027103,1.07272
52,-1.9848226134286e-07,0.92286333210688,1,-0.20000340915736,0.14985666789312,1.07272
53,-1.9848285207175e-07,0.92121271549781,1,-0.20000400441353,0.15150728450219,1.07272
54,-1.9848280650804e-07,0.91955175602642,1,-0.20000395850063,0.15316824397358,1.07272
55,-1.9848259680736e-07,0.91786570620055,1,-0.20000374719283,0.15485429379945,1.07272
56,-1.9848232375793e-07,0.91614445440295,1,-0.20000347205077,0.15657554559705,1.07272
57,-1.9848260814925e-07,0.91436976358774,1,-0.20000375862164,0.15835023641226,1.07272
58,-1.9848242953585e-07,0.9125750057924,1,-0.20000357863936,0.1601449942076,1.07272
